species,stressor,vuln,iucn_sid,src,map_f
balaena mysticetus,marine_heat_waves,0.2439,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,marine_heat_waves,0.2439,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,noise_pollution,0.53894,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,noise_pollution,0.53894,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,noise_pollution,0.53894,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,noise_pollution,0.53894,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,oceanographic,0.19209,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,oceanographic,0.19209,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,oceanographic,0.19209,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
balaena mysticetus,oceanographic,0.19209,2472,iucn,species_ranges/iucn_spp_mol_2472.csv
balaena mysticetus,organic_pollution,0.36562,2467,iucn,species_ranges/iucn_spp_mol_2467.csv
balaena mysticetus,organic_pollution,0.36562,2468,iucn,species_ranges/iucn_spp_mol_2468.csv
balaena mysticetus,organic_pollution,0.36562,2469,iucn,species_ranges/iucn_spp_mol_2469.csv
